"ID","Question","Options","Answer","BlankPosition"
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
1,"How much cheese ______ they need?","(A) is (B) there (C) do (D) does","C",17
